"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type","date_ym","생활물가지수","식품","식품_이외","전월세","전월세포함_생활물가지수","생활물가지수_up","식품_up","식품_이외_up","전월세_up","전월세포함_생활물가지수_up","Dubai","Brent","WTI","구름많음","구름조금","눈","맑음","비","흐림","min_Temperature_sum","max_Temperature_sum","Precipitation_sum","snow_sum","date_end","before_count","agenda1"
20170713,467,116458,110300,118800,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,332.18,348.9,332.04,1,1,0,0,0,0,48,63.2,0,0,0,19054,0
20170713,42021,129215,124900,130000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,332.18,348.9,332.04,1,1,0,0,0,0,48,63.2,0,0,0,467,0
20170718,92,106500,106500,106500,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,334.94,346.58,329.26,1,0,0,0,4,0,120.8,148.8,75,0,0,42021,0
20170718,8708,125542,125000,126000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,334.94,346.58,329.26,1,0,0,0,4,0,120.8,148.8,75,0,0,92,0
20170720,3202,114767,110800,118800,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,341.01,347.86,330.15,1,0,0,1,0,0,50.5,69,0,0,0,8708,0
20170720,38229,128996,125100,130000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,341.01,347.86,330.15,1,0,0,1,0,0,50.5,69,0,0,0,3202,0
20170725,1561,112035,111900,112100,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,332.05,352.41,336.19,0,1,0,0,3,1,131.1,155.7,137,0,0,38229,0
20170725,11169,125346,125000,126000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,332.05,352.41,336.19,0,1,0,0,3,1,131.1,155.7,137,0,0,1561,0
20170727,273,115080,115000,115100,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,347.75,362.83,345.56,0,1,0,0,1,0,49.1,62.5,3.5,0,0,11169,0
20170727,23735,126235,125000,128000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,347.75,362.83,345.56,0,1,0,0,1,0,49.1,62.5,3.5,0,0,273,0
