"date","weather_str","min_Temperature","max_Temperature","Precipitation","snow"
"20161210","맑음",-5.9,3.6,0,0
"20161211","맑음",-6.1,6.4,0,0
"20161212","흐림",-3,6.3,0,0
"20161213","구름조금",-0.4,8.8,0,0
"20161214","비",-2.3,-0.1,0.1,0
"20161215","맑음",-7.6,-1.5,0,0
"20161216","맑음",-9.8,0,0,0
"20161217","구름많음",-2.7,8,0,0
"20161218","흐림",2.7,8.1,0,0
"20161219","비",4.3,12,0.1,0
"20161220","맑음",4.4,13.6,0,0
"20161221","비",4.1,12.6,29,0
"20161222","비",1.5,11,23.5,0
"20161223","비",-4.4,1.5,0.1,0
"20161224","구름조금",-4.3,1.1,0,0
"20161225","구름조금",-4.5,6.4,0,0
"20161226","흐림",1.3,4.4,0,0
"20161227","눈",-6.3,1.3,0.5,0.5
"20161228","맑음",-8.4,2.6,0,0
"20161229","눈",-7.2,-1.1,0.3,1
"20161230","구름조금",-9.1,1,0,0
"20161231","구름많음",-3.6,5.7,0,0
"20170101","구름많음",-1.6,6.9,0,0
"20170102","비",1.8,9.2,0.3,0
"20170103","맑음",-2.3,7.7,0,0
"20170104","구름조금",1,8.9,0,0
"20170105","흐림",-0.1,7.3,0,0
"20170106","구름조금",2.5,11.4,0,0
"20170107","구름조금",0,10.5,0,0
"20170108","흐림",4,10.9,0,0
"20170109","구름조금",-3.1,4.3,0,0
"20170110","맑음",-7.4,1.1,0,0
"20170111","맑음",-9.4,1.5,0,0
"20170112","눈",-6.1,1,0,0.1
"20170113","눈",-8.6,-1.4,0.6,1.5
"20170114","맑음",-10.5,-5.4,0,0
"20170115","맑음",-11.5,-0.9,0,0
"20170116","맑음",-8.9,4,0,0
"20170117","구름조금",-7.1,3.4,0,0
"20170118","구름조금",-3,2.8,0,0
"20170119","구름많음",-4.9,4.7,0,0
"20170120","눈",-7.8,-1.4,4,6.6
"20170121","눈",-10,-0.9,2.1,3.2
"20170122","맑음",-10.9,-3.3,0,0
"20170123","맑음",-12.6,-4.1,0,0
"20170124","맑음",-11.6,-1.3,0,0
"20170125","맑음",-10.2,0.9,0,0
"20170126","비",-7.9,3.4,0.3,0
"20170127","비",-5.7,3.1,3,0
"20170128","구름많음",-8.2,4.3,0,0
"20170129","눈",-0.9,2.5,4.5,2.1
"20170130","눈",-7.9,-0.9,0.1,0.1
"20170131","구름조금",-9.9,0.2,0,0
"20170201","맑음",-7.5,0.7,0,0
"20170202","맑음",-9.2,3.3,0,0
"20170203","맑음",-2.3,6.7,0,0
"20170204","구름많음",-2.9,3.2,0,0
"20170205","비",-1.5,2.3,0.5,0
"20170206","맑음",-4.4,2.6,0,0
"20170207","구름조금",-5.6,3,0,0
"20170208","구름많음",-4.9,0.6,0,0
"20170209","맑음",-7.1,-2.1,0,0
"20170210","맑음",-9.3,-2.5,0,0
"20170211","맑음",-9.2,0.8,0,0
"20170212","맑음",-7.4,4.2,0,0
"20170213","구름조금",-5.4,6.1,0,0
"20170214","맑음",-4,6.5,0,0
"20170215","맑음",-3.9,8,0,0
"20170216","구름많음",-1.9,10.3,0,0
"20170217","비",-5.2,9,4,0
"20170218","맑음",-7,2.9,0,0
"20170219","비",-3.4,5.7,1,0
"20170220","비",-5.2,5.4,0.5,0
"20170221","구름조금",-7.6,6.9,0,0
"20170222","비",-0.9,2.9,5.1,0
"20170223","맑음",-4.2,2.1,0,0
"20170224","맑음",-5.8,4.4,0,0
"20170225","맑음",-2.8,8.4,0,0
"20170226","맑음",-1.5,10.1,0,0
"20170227","맑음",-1.8,10.7,0,0
"20170228","맑음",-1.3,12.3,0,0
"20170301","비",2,11.4,5,0
"20170302","비",-1.1,6.6,0.5,0
"20170303","맑음",-3.1,10.4,0,0
"20170304","맑음",0.1,12.7,0,0
"20170305","비",1.2,10.4,0.5,0
"20170306","맑음",-2.8,4,0,0
"20170307","맑음",-4,2.9,0,0
"20170308","구름조금",-5.3,5,0,0
"20170309","맑음",-2.7,10.7,0,0
"20170310","맑음",-1.2,12.2,0,0
"20170311","구름조금",-0.2,16.7,0,0
"20170312","흐림",4.4,14,0,0
"20170313","구름조금",1.5,12.2,0,0
"20170314","맑음",1,10.9,0,0
"20170315","맑음",0.4,13.3,0,0
"20170316","구름조금",1,13.4,0,0
"20170317","맑음",1.2,15.7,0,0
"20170318","구름조금",5.9,16.1,0,0
"20170319","맑음",3.2,18.9,0,0
"20170320","흐림",6,15.5,0,0
"20170321","맑음",4.3,12.6,0,0
"20170322","구름조금",1.9,14.1,0,0
"20170323","구름조금",5.1,15,0,0
"20170324","구름많음",3.9,15.2,0,0
"20170325","구름많음",5,12.6,0,0
"20170326","구름많음",4.8,11.6,0,0
"20170327","비",4.4,10.9,0.4,0
"20170328","구름많음",2.5,12.7,0,0
"20170329","구름조금",4.7,14.4,0,0
"20170330","구름조금",4.1,17.1,0,0
"20170331","비",4.9,12.4,1.5,0
"20170401","비",4.8,15.1,1,0
"20170402","맑음",3.1,15.8,0,0
"20170403","맑음",4.3,19.2,0,0
"20170404","구름조금",6.7,21.8,0,0
"20170405","비",10.8,14.2,37.5,0
"20170406","비",9.4,12.4,3,0
"20170407","구름많음",9,23.5,0,0
"20170408","비",8.6,19.9,0.5,0
"20170409","비",10.6,20.5,0.5,0
"20170410","구름조금",10.1,23.3,0,0
"20170411","구름조금",11.5,20.2,0,0
"20170412","맑음",8.8,16.4,0,0
"20170413","구름조금",6.3,19.6,0,0
"20170414","비",10.1,17.7,6,0
"20170415","구름조금",10.9,24.3,0,0
"20170416","흐림",12.9,24.4,0,0
"20170417","비",11.2,18,5.5,0
"20170418","비",9.4,17.4,7.5,0
"20170419","맑음",7,18.4,0,0
"20170420","비",9.9,18.2,0.1,0
"20170421","구름조금",7.6,19.3,0,0
"20170422","맑음",8.5,22.5,0,0
"20170423","맑음",8.9,21.7,0,0
"20170424","구름조금",8.3,21.3,0,0
"20170425","흐림",12.9,20.4,0,0
"20170426","맑음",10.5,20.2,0,0
"20170427","맑음",7.9,19.8,0,0
"20170428","구름조금",8.9,21.5,0,0
"20170429","맑음",9.6,23.7,0,0
"20170430","맑음",13.7,27.8,0,0
"20170501","맑음",12.8,28.3,0,0
"20170502","구름조금",15.2,28,0,0
"20170503","맑음",14.5,30.2,0,0
"20170504","구름많음",14.8,27.5,0,0
"20170505","구름조금",15.5,27,0,0
"20170506","맑음",10,19.3,0,0
"20170507","맑음",10.9,22.8,0,0
"20170508","구름많음",11.1,23.5,0,0
"20170509","비",15.3,22.6,2.5,0
"20170510","비",14.2,20.8,2.5,0
"20170511","흐림",13.1,24.8,0,0
"20170512","흐림",16.8,21.1,0,0
"20170513","비",12.4,22.6,6,0
"20170514","맑음",11,20.7,0,0
"20170515","구름조금",12.3,20.1,0,0
"20170516","구름많음",13.3,22.3,0,0
"20170517","맑음",12.3,25.9,0,0
"20170518","맑음",13.9,26.9,0,0
"20170519","맑음",15.1,27.9,0,0
"20170520","구름조금",15.4,27.3,0,0
"20170521","구름조금",16,27.6,0,0
"20170522","구름조금",15.9,28,0,0
"20170523","비",17.2,24.4,5,0
"20170524","비",16.9,27.8,0.1,0
"20170525","맑음",14.4,24.4,0,0
"20170526","맑음",12.4,23.2,0,0
"20170527","맑음",13.7,26.4,0,0
"20170528","맑음",14.4,27.9,0,0
"20170529","구름조금",18.1,29.3,0,0
"20170530","구름많음",18.6,30.3,0,0
"20170531","구름조금",17.7,29.6,0,0
"20170601","구름조금",20,27,0,0
"20170602","구름조금",15.5,25.6,0,0
"20170603","맑음",16.1,26.5,0,0
"20170604","맑음",15.1,28.1,0,0
"20170605","구름조금",16.4,30.3,0,0
"20170606","비",14.5,23.9,15.5,0
"20170607","비",15.1,19.2,12.5,0
"20170608","구름조금",15.1,25.9,0,0
"20170609","비",17.9,25.7,0.1,0
"20170610","비",16.7,27.5,4.5,0
"20170611","맑음",14.8,29.6,0,0
"20170612","구름조금",17,28,0,0
"20170613","구름많음",18.3,25.9,0,0
"20170614","맑음",17.8,26.8,0,0
"20170615","맑음",18,29.6,0,0
"20170616","맑음",20,32.7,0,0
"20170617","맑음",20.6,29.9,0,0
"20170618","맑음",18.6,31.8,0,0
"20170619","구름많음",19.5,30.2,0,0
"20170620","구름많음",20,32.7,0,0
"20170621","구름조금",21.7,31.6,0,0
"20170622","구름조금",21.2,30.4,0,0
"20170623","구름조금",21.3,34.1,0,0
"20170624","비",21.5,27.8,3.5,0
"20170625","비",21,28.4,1.5,0
"20170626","비",20.1,29.9,29,0
"20170627","구름많음",20.8,30.5,0,0
"20170628","구름많음",22.5,30.5,0,0
"20170629","구름조금",21.9,31.5,0,0
"20170630","구름조금",22.2,30.9,0,0
"20170701","비",22.4,30.7,0.5,0
"20170702","비",21.9,26.8,92,0
"20170703","비",21.9,27.4,67.5,0
"20170704","비",23.8,31.6,0.5,0
"20170705","구름조금",23.3,32.6,0,0
"20170706","비",23.9,34.6,34,0
"20170707","비",24.4,28.4,16.5,0
"20170708","비",24.6,27.6,4.5,0
"20170709","비",23.8,30.3,32.5,0
"20170710","비",22.6,25.4,144.5,0
"20170711","비",22.2,30.9,1,0
"20170712","구름많음",24.9,31.1,0,0
"20170713","구름조금",23.1,32.1,0,0
"20170714","구름많음",26.1,33,0,0
"20170715","비",23.4,27.3,42.5,0
"20170716","비",23.4,28.8,22.5,0
"20170717","비",24,29,7.5,0
"20170718","비",23.9,30.7,2.5,0
"20170719","구름많음",24.5,34.1,0,0
"20170720","맑음",26,34.9,0,0
"20170721","흐림",27.3,32.4,0,0
"20170722","비",27.5,32.5,0.5,0
"20170723","비",26.1,28.1,133.5,0
"20170724","비",25.6,27.3,3,0
"20170725","구름조금",24.6,35.4,0,0
"20170726","구름조금",24.2,32.8,0,0
"20170727","비",24.9,29.7,3.5,0
"20170728","비",24.8,26.9,8.5,0
"20170729","구름많음",25,30.1,0,0
"20170730","흐림",24.7,32.6,0,0
"20170731","비",24.8,27.1,3.5,0
"20170801","비",24.1,33,2,0
"20170802","구름조금",26.6,33,0,0
"20170803","구름많음",27.2,33.9,0,0
"20170804","구름많음",25.9,35.3,0,0
"20170805","구름조금",27.6,34.8,0,0
"20170806","비",28.2,34,5,0
"20170807","구름조금",26.4,34.4,0,0
"20170808","흐림",25.5,31,0,0
"20170809","비",24.6,32,2.5,0
"20170810","비",23.9,26.3,5.5,0
"20170811","비",23.9,32.4,0.5,0
"20170812","구름많음",23.2,32.6,0,0
"20170813","흐림",24.2,28.4,0,0
"20170814","비",23.1,27.1,1.5,0
"20170815","비",20.8,24,93.5,0
"20170816","비",20.5,26.8,2,0
"20170817","비",21.2,27.7,0.5,0
"20170818","흐림",23.9,30.6,0,0
"20170819","흐림",23.1,28.7,0,0
"20170820","비",22,25.8,124.5,0
"20170821","비",23.7,29.2,5,0
"20170822","구름조금",23.4,31.5,0,0
"20170823","비",24.6,30.2,31.5,0
"20170824","비",23.9,28.1,14,0
"20170825","구름많음",22.2,30.6,0,0
"20170826","맑음",19,29.2,0,0
"20170827","흐림",19,26.7,0,0
"20170828","비",18.3,26.5,9,0
"20170829","구름많음",17,24,0,0
"20170830","구름많음",16.1,23.9,0,0
"20170831","맑음",16.6,27.6,0,0
"20170901","맑음",17.1,29.7,0,0
"20170902","구름조금",18.6,29.6,0,0
"20170903","구름조금",19,29.2,0,0
"20170904","구름많음",19.7,30.1,0,0
"20170905","흐림",20.4,23.7,0,0
"20170906","비",18.5,24,2,0
"20170907","구름많음",17.8,27.5,0,0
"20170908","구름조금",20.4,29.9,0,0
"20170909","구름조금",19.2,28.2,0,0
"20170910","비",19.9,26.1,0.5,0
"20170911","비",18.6,24.6,24,0
"20170912","맑음",17.7,27.9,0,0
"20170913","맑음",15.9,27.5,0,0
"20170914","맑음",14.8,29.5,0,0
"20170915","구름조금",17.8,27.9,0,0
"20170916","구름조금",16.7,27.6,0,0
"20170917","구름조금",19,29.2,0,0
"20170918","맑음",16.4,27.6,0,0
"20170919","비",20.1,25.8,8,0
"20170920","맑음",14.1,24.9,0,0
"20170921","맑음",14.2,27,0,0
"20170922","구름조금",15.4,26.8,0,0
"20170923","구름많음",17.6,27.3,0,0
"20170924","구름많음",18.8,27.9,0,0
"20170925","맑음",17.4,30.1,0,0
"20170926","구름조금",19.4,31.4,0,0
"20170927","비",19.9,27.3,0.5,0
"20170928","맑음",14.2,25.3,0,0
"20170929","구름조금",11.2,23.5,0,0
"20170930","구름조금",14.7,25.9,0,0
"20171001","비",15.5,21.2,4,0
"20171002","비",15.6,29.4,1.5,0
"20171003","구름많음",13.4,23.6,0,0
"20171004","구름많음",10.7,24.3,0,0
"20171005","흐림",13.9,23.4,0,0
"20171006","비",16.2,23.3,0.5,0
"20171007","구름많음",16.9,28.8,0,0
"20171008","구름조금",19.3,28.7,0,0
