"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type"
20170111,1153,135058,95000,149000,1,1,1,0,86.1,"energy_total_location_in"
20170118,192,124271,123600,125900,1,1,0,1,106.06,"energy_total_location_out"
20170118,13464,141328,76000,150000,1,1,1,0,86.1,"energy_total_location_in"
20170125,1366,135899,124700,150000,1,1,0,1,106.06,"energy_total_location_out"
20170125,86898,161576,78700,170900,1,1,1,0,86.1,"energy_total_location_in"
20170203,17924,159345,1e+05,165000,1,1,1,0,90.76,"energy_total_location_in"
20170208,22197,128246,118700,141700,1,1,0,1,121.17,"energy_total_location_out"
20170208,28853,153710,89000,160000,1,1,1,0,90.76,"energy_total_location_in"
20170215,1968,125060,80400,132400,1,1,0,1,121.17,"energy_total_location_out"
20170215,51638,145494,110000,150000,1,1,1,0,90.76,"energy_total_location_in"
20170222,121,106446,95000,120000,1,1,1,0,90.76,"energy_total_location_in"
20170308,80,93200,88700,98700,1,1,0,1,129.71,"energy_total_location_out"
20170308,26820,126851,92700,149000,1,1,1,0,91.67,"energy_total_location_in"
20170315,158,108546,96600,111700,1,1,0,1,129.71,"energy_total_location_out"
20170315,42012,137640,99400,143000,1,1,1,0,91.67,"energy_total_location_in"
20170328,863,107197,106900,109000,1,1,0,1,129.71,"energy_total_location_out"
20170328,12539,118874,117500,120000,1,1,1,0,91.67,"energy_total_location_in"
20170330,844,106944,104800,107800,1,1,0,1,129.71,"energy_total_location_out"
20170330,10669,119516,115000,121300,1,1,1,0,91.67,"energy_total_location_in"
20170404,863,110859,108900,112400,1,1,0,1,121.12,"energy_total_location_out"
20170404,12539,122463,115500,125200,1,1,1,0,74.88,"energy_total_location_in"
20170406,17,113800,113800,113800,1,1,0,1,121.12,"energy_total_location_out"
20170406,12436,124245,120000,125000,1,1,1,0,74.88,"energy_total_location_in"
20170411,69,111191,103800,114800,1,1,0,1,121.12,"energy_total_location_out"
20170411,12213,124888,126200,122500,1,1,1,0,74.88,"energy_total_location_in"
20170413,986,113770,105800,114000,1,1,0,1,121.12,"energy_total_location_out"
20170413,13035,123513,119100,125100,1,1,1,0,74.88,"energy_total_location_in"
20170418,409,110646,108900,112100,1,1,0,1,121.12,"energy_total_location_out"
20170418,18099,124176,120000,125100,1,1,1,0,74.88,"energy_total_location_in"
20170420,1079,112034,108000,118800,1,1,0,1,121.12,"energy_total_location_out"
20170420,21180,127628,122100,130000,1,1,1,0,74.88,"energy_total_location_in"
20170425,1543,114895,97800,118800,1,1,0,1,121.12,"energy_total_location_out"
20170425,14911,128072,117000,130000,1,1,1,0,74.88,"energy_total_location_in"
20170427,36,116800,116800,116800,1,1,0,1,121.12,"energy_total_location_out"
20170427,8113,125998,120000,130000,1,1,1,0,74.88,"energy_total_location_in"
20170502,2860,120907,117600,121000,1,1,0,1,117.9180645,"energy_total_location_out"
20170502,11451,128288,118000,130500,1,1,1,0,78.34935484,"energy_total_location_in"
20170504,333,117782,110700,119300,1,1,0,1,117.9180645,"energy_total_location_out"
20170504,13040,129858,120000,131000,1,1,1,0,78.34935484,"energy_total_location_in"
20170511,740,117285,110800,121000,1,1,0,1,117.9180645,"energy_total_location_out"
20170511,36987,129882,120000,130500,1,1,1,0,78.34935484,"energy_total_location_in"
20170516,206,119246,112800,121800,1,1,0,1,117.9180645,"energy_total_location_out"
20170516,43153,132472,130000,133500,1,1,1,0,78.34935484,"energy_total_location_in"
20170518,80,117000,117000,117000,1,1,0,1,117.9180645,"energy_total_location_out"
20170518,9305,132387,129500,134000,1,1,1,0,78.34935484,"energy_total_location_in"
20170523,94,119032,115800,120800,1,1,0,1,117.9180645,"energy_total_location_out"
20170523,43385,132330,128000,133000,1,1,1,0,78.34935484,"energy_total_location_in"
20170525,99,119633,119300,120800,1,1,0,1,117.9180645,"energy_total_location_out"
20170525,42430,132100,128100,133000,1,1,1,0,78.34935484,"energy_total_location_in"
20170530,11,120700,120700,120700,1,1,0,1,117.9180645,"energy_total_location_out"
20170530,11530,130445,128000,132000,1,1,1,0,78.34935484,"energy_total_location_in"
20170601,473,115605,110800,120000,1,1,0,1,123.558,"energy_total_location_out"
20170601,14899,130037,125000,131000,1,1,1,0,82.15733333,"energy_total_location_in"
20170608,2578,120791,110800,124000,1,1,0,1,123.558,"energy_total_location_out"
20170608,135260,132362,120000,133500,1,1,1,0,82.15733333,"energy_total_location_in"
20170613,114,115300,115300,115300,1,1,0,1,123.558,"energy_total_location_out"
20170613,2231,126757,125500,129000,1,1,1,0,82.15733333,"energy_total_location_in"
20170615,268,115289,109800,118800,1,1,0,1,123.558,"energy_total_location_out"
20170615,16198,128969,119000,130000,1,1,1,0,82.15733333,"energy_total_location_in"
20170620,48,118866,117700,120500,1,1,0,1,123.558,"energy_total_location_out"
20170620,73082,129341,123000,129500,1,1,1,0,82.15733333,"energy_total_location_in"
20170622,61,112800,112800,112800,1,1,0,1,123.558,"energy_total_location_out"
20170622,3289,124159,120000,125000,1,1,1,0,82.15733333,"energy_total_location_in"
20170627,5327,124708,110000,126100,1,1,1,0,82.15733333,"energy_total_location_in"
20170627,47820,128127,122500,130000,1,1,1,0,82.15733333,"energy_total_location_in"
20170629,163,115020,105800,117100,1,1,0,1,123.558,"energy_total_location_out"
20170704,7697,124933,124000,125000,1,1,1,0,76.04806452,"energy_total_location_in"
20170706,192,112048,111900,112100,1,1,0,1,123.6919355,"energy_total_location_out"
20170706,11925,124849,124500,126000,1,1,1,0,76.04806452,"energy_total_location_in"
20170711,369,116121,115900,117800,1,1,0,1,123.6919355,"energy_total_location_out"
20170711,19054,128048,124800,130000,1,1,1,0,76.04806452,"energy_total_location_in"
20170713,467,116458,110300,118800,1,1,0,1,123.6919355,"energy_total_location_out"
20170713,42021,129215,124900,130000,1,1,1,0,76.04806452,"energy_total_location_in"
20170718,92,106500,106500,106500,1,1,0,1,123.6919355,"energy_total_location_out"
20170718,8708,125542,125000,126000,1,1,1,0,76.04806452,"energy_total_location_in"
20170720,3202,114767,110800,118800,1,1,0,1,123.6919355,"energy_total_location_out"
20170720,38229,128996,125100,130000,1,1,1,0,76.04806452,"energy_total_location_in"
20170725,1561,112035,111900,112100,1,1,0,1,123.6919355,"energy_total_location_out"
